pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Metabolism of steroids,Reactome,31,OSBPL7;FDFT1;HSD17B7;STARD4;ACACB;AMACR;MSMO1;ACAT2;CYP7A1;CYP8B1;SCD;FDPS;CYP17A1;DHCR7;DHCR24;SQLE;SRD5A1;CH25H;SREBF1;SREBF2;TSPO;TM7SF2;SLC27A5;CYP7B1;LSS;HMGCR;HMGCS1;IDI1;NR1H4;MVD;MVK,124 (124),2.41e-15,4.51e-13,33,HMDB0006842;HMDB0001170;HMDB0000123;HMDB0001547;HMDB0006271;HMDB0000145;HMDB0000036;HMDB0000015;HMDB0001286;HMDB0001188;HMDB0000067;HMDB0006841;HMDB0000077;HMDB0006894;HMDB0012455;HMDB0001231;HMDB0000876;HMDB0003550;HMDB0000637;HMDB0000951;HMDB0000234;HMDB0062206;HMDB0006763;HMDB0002719;HMDB0001251;HMDB0000138;HMDB0006281;HMDB0062420;HMDB0000032;HMDB0001090;HMDB0060136;HMDB0001457;HMDB0001993,113 (142),2.33e-08,3.12e-05,2.93e-21,8.1e-18
Simvastatin Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (47),8.52e-05,0.0149,2.51e-18,3.82e-16
Hyper-IgD syndrome,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Cholesteryl ester storage disease,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Lysosomal Acid Lipase Deficiency (Wolman Disease),SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Rosuvastatin Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (47),8.52e-05,0.0149,2.51e-18,3.82e-16
Mevalonic aciduria,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Wolman disease,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
Cerivastatin Action Pathway,SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (47),8.52e-05,0.0149,2.51e-18,3.82e-16
Smith-Lemli-Opitz Syndrome (SLOS),SMPDB,15,HSD17B7;MSMO1;TM7SF2;DHCR24;ACAT2;FDFT1;LSS;FDPS;HMGCR;MVD;MVK;SQLE;LIPA;IDI1;HMGCS1,22 (22),6.5e-16,1.27e-13,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149,2.51e-18,3.82e-16
